Agency;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
DOD;37398;39767;38770;38922;38736;43676;49033;53347;60778;67326;72074;74793;74384;72337;68499;64987;64376;64679;57861;56397;56037;57298;57095;58350;58751;61391;70511;82325;89418;92456;94714;98060;98698;97951;98807;92445;85391;73804;73475;72656;78815;53584;64208;65962;72739
NASA;13110;13148;13107;13694;14485;13893;10793;6163;6514;7498;7678;8725;9144;11100;12864;14189;14559;14676;15326;15091;14771;14390;14819;14580;13959;14202;14454;14830;14648;13971;14400;14375;13599;10564;11039;10632;12976;12386;12985;12465;14369;11386;11524;10909;14057
DOE;11401;14392;16402;16346;15938;15485;12715;11639;12264;12587;11409;10921;11358;11729;12640;12818;13859;12394;11033;10236;9824;9567;9652;10452;10227;11107;11421;11737;11813;11341;10944;11213;11879;12383;12915;12472;12398;12054;13251;15711;16247;16296;18130;18632;19219
HHS;9666;9957;11030;10603;10515;10092;9264;9850;10606;11584;11641;13431;14083;14933;15435;16708;17346;17436;18451;18375;18844;19868;21036;23745;26732;30228;33952;38452;38670;38381;36942;36763;35568;37335;37851;36438;35981;33560;33884;32959;34708;36129;38304;39218;40750
NSF;2485;2508;2561;2517;2520;2407;2291;2386;2715;2988;2883;3075;3096;3304;3127;3307;3360;3352;3654;3823;3745;3730;3801;4006;4309;4769;4984;5451;5590;5398;5333;5511;5480;5731;6426;6420;6543;6001;6408;6542;6520;6325;6609;6780;6752
USDA;1924;1881;2055;2151;1975;2055;1952;1994;2124;2110;1977;2199;2179;2136;2213;2430;2589;2442;2490;2372;2330;2395;2372;2468;2611;3133;2986;3252;3013;3182;3109;2824;2836;2930;3112;2764;2673;2383;2629;2681;2877;2749;2721;3085;2940
Interior;1207;1133;1178;1232;1133;1036;905;873;791;818;789;822;830;899;960;1083;1096;1081;1153;1066;894;910;814;749;909;892;881;893;850;817;815;803;831;844;925;885;940;884;929;943;1053;1001;907;977;974
DOT;1196;1147;1211;1051;1097;1024;734;837;1064;924;780;622;613;612;640;718;1058;1034;1044;1063;941;942;896;911;893;1032;1100;971;901;930;1042;952;1064;1112;1279;1115;1054;921;881;968;954;980;1051;1053;1097
EPA;1014;1012;1230;1153;945;943;670;523;541;643;666;694;729;745;767;802;839;827;958;884;756;916;968;1004;820;824;837;787;897;843;792;691;666;676;711;680;651;596;594;569;556;530;512;500;493
DOC;858;877;912;997;989;868;724;732;790;824;813;840;799;800;819;938;994;1321;1665;1784;1553;1483;1658;1626;1726;1479;1734;1662;1519;1476;1354;1331;1444;1669;1593;1422;1438;1461;1715;1668;1813;1910;2146;1996;1940
DHS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;376;1023;1394;1632;1657;1236;1210;1317;1057;888;552;770;1140;1004;630;770;752;612;534
VA;424;392;373;369;376;400;327;363;429;451;381;449;385;409;395;392;425;421;451;420;412;905;892;966;948;1033;1069;1134;1174;976;981;1017;1077;1134;1232;1356;1330;1311;1216;1287;1323;1432;1337;1397;1313
Other ;1248;1341;1295;2430;2583;2015;1700;1524;1483;1167;1386;1541;1473;1535;1831;1700;2086;1757;1724;1683;1403;1359;1410;1437;1277;1387;1449;1477;1387;1364;1387;1381;1297;1386;1348;1183;1516;1930;1772;1628;1732;1626;1866;1818;1248